Species,Platform,Year,Month,Day,Latitude,Longitude,Season
Bryde's whale,MRI,1963,2,19,-33.86666667,17.43333333,Summer
Bryde's whale,MRI,1963,2,22,-33.23333333,16.36666667,Summer
Bryde's whale,MRI,1973,2,11,-34.36666667,25.73333333,Summer
Bryde's whale,MRI,1973,2,12,-34.53333333,25.83333333,Summer
Bryde's whale,MRI,1975,1,20,-34.28333333,26.01666667,Summer
Bryde's whale,MRI,1975,1,20,-34.13333333,25.8,Summer
Bryde's whale,MRI,1975,1,21,-34.6,25.46666667,Summer
Bryde's whale,MRI,1975,1,21,-34.6,25.46666667,Summer
Bryde's whale,MRI,1975,1,28,-34.8,25.78333333,Summer
Bryde's whale,MRI,1983,1,23,-34.61666667,25.11666667,Summer
Bryde's whale,MRI,1983,1,23,-34.61666667,25.55,Summer
Bryde's whale,MRI,1983,1,23,-34.6,25.1,Summer
Bryde's whale,MRI,1983,1,23,-34.6,25.11666667,Summer
Bryde's whale,MRI,1983,1,23,-34.6,25.13333333,Summer
Bryde's whale,MRI,1983,1,23,-34.6,25.46666667,Summer
Bryde's whale,MRI,1983,1,23,-34.58333333,25.25,Summer
Bryde's whale,MRI,1983,1,23,-34.56666667,25.23333333,Summer
Bryde's whale,MRI,1983,1,23,-34.53333333,25.5,Summer
Bryde's whale,MRI,1983,1,25,-33.81666667,26.63333333,Summer
Bryde's whale,MRI,1983,1,25,-33.78333333,26.65,Summer
Bryde's whale,MRI,1983,1,25,-33.76666667,26.65,Summer
Bryde's whale,MRI,1983,1,25,-33.76666667,26.65,Summer
Bryde's whale,MRI,1983,1,25,-33.76666667,26.68333333,Summer
Bryde's whale,MRI,1983,1,26,-34.11666667,25.71666667,Summer
Bryde's whale,MRI,1983,1,26,-34.11666667,25.73333333,Summer
Bryde's whale,MRI,1983,1,26,-34.1,25.75,Summer
Bryde's whale,MRI,1983,1,26,-34.1,25.76666667,Summer
Bryde's whale,MRI,1983,1,26,-34.08333333,25.55,Summer
Bryde's whale,MRI,1983,1,26,-34.08333333,25.75,Summer
Bryde's whale,MRI,1983,1,26,-34.06666667,25.8,Summer
Bryde's whale,MRI,1983,1,26,-34,25.83333333,Summer
Bryde's whale,MRI,1983,1,26,-33.78333333,26.06666667,Summer
Bryde's whale,MRI,1983,1,26,-33.76666667,26.05,Summer
Bryde's whale,MRI,1983,1,27,-34.26666667,24.6,Summer
Bryde's whale,MRI,1983,1,27,-34.26666667,24.88333333,Summer
Bryde's whale,MRI,1983,1,27,-34.23333333,24.66666667,Summer
Bryde's whale,MRI,1983,1,27,-34.16666667,24.26666667,Summer
Bryde's whale,MRI,1983,1,27,-34.16666667,24.28333333,Summer
Bryde's whale,MRI,1983,1,27,-34.15,24.08333333,Summer
Bryde's whale,MRI,1983,1,27,-34.13333333,24.15,Summer
Bryde's whale,MRI,1983,1,28,-34.41666667,22.95,Summer
Bryde's whale,MRI,1983,1,28,-34.28333333,22.9,Summer
Bryde's whale,MRI,1983,1,28,-34.16666667,23.1,Summer
Bryde's whale,MRI,1983,1,28,-34.08333333,23.61666667,Summer
Bryde's whale,MRI,1983,1,28,-34.06666667,23.63333333,Summer
Bryde's whale,MRI,1983,1,28,-34.05,23.65,Summer
Bryde's whale,MRI,1983,1,28,-34.05,23.7,Summer
Bryde's whale,MRI,1983,1,29,-35.01666667,22.7,Summer
Bryde's whale,MRI,1983,1,29,-34.9,22.68333333,Summer
Bryde's whale,MRI,1983,1,29,-34.88333333,22.78333333,Summer
Bryde's whale,MRI,1983,1,29,-34.71666667,22.83333333,Summer
Bryde's whale,MRI,1983,1,29,-34.68333333,22.86666667,Summer
Bryde's whale,MRI,1983,1,29,-34.61666667,22.85,Summer
Bryde's whale,MRI,1983,1,29,-34.35,22.51666667,Summer
Bryde's whale,MRI,1983,1,29,-34.21666667,22.38333333,Summer
Bryde's whale,MRI,1983,1,29,-34.21666667,22.38333333,Summer
Bryde's whale,MRI,1983,1,29,-34.21666667,22.48333333,Summer
Bryde's whale,MRI,1983,1,29,-34.21666667,22.5,Summer
Bryde's whale,MRI,1983,1,29,-34.21666667,22.51666667,Summer
Bryde's whale,MRI,1983,1,29,-34.21666667,22.53333333,Summer
Bryde's whale,MRI,1983,1,30,-34.7,22.21666667,Summer
Bryde's whale,MRI,1983,1,30,-34.5,21.8,Summer
Bryde's whale,MRI,1983,1,30,-34.45,22.26666667,Summer
Bryde's whale,MRI,1983,1,30,-34.43333333,21.8,Summer
Bryde's whale,MRI,1983,1,30,-34.2,22.38333333,Summer
Bryde's whale,MRI,1983,1,31,-34.98333333,21.33333333,Summer
Bryde's whale,MRI,1983,1,31,-34.63333333,21.3,Summer
Bryde's whale,MRI,1983,1,31,-34.61666667,21.23333333,Summer
Bryde's whale,MRI,1983,1,23,-34.61666667,25.06666667,Summer
Bryde's whale,MRI,1983,1,23,-34.61666667,25.53333333,Summer
Bryde's whale,MRI,1983,1,23,-34.56666667,25.25,Summer
Bryde's whale,MRI,1983,1,23,-34.53333333,25.65,Summer
Bryde's whale,MRI,1983,2,5,-32.16666667,17.36666667,Summer
Bryde's whale,MRI,1983,2,7,-30.85,17.3,Summer
Bryde's whale,MRI,1983,2,8,-32.01666667,17.78333333,Summer
Bryde's whale,MRI,1983,2,8,-31.93333333,17.63333333,Summer
Bryde's whale,MRI,1983,2,8,-31.91666667,17.48333333,Summer
Bryde's whale,MRI,1983,2,8,-31.83333333,17.71666667,Summer
Bryde's whale,MRI,1983,2,8,-31.76666667,17.68333333,Summer
Bryde's whale,MRI,1983,2,10,-34.46666667,18.56666667,Summer
Bryde's whale,MRI,1983,2,10,-34.46666667,18.6,Summer
Bryde's whale,MRI,1983,2,10,-34.46666667,18.75,Summer
Bryde's whale,MRI,1983,2,10,-34.46666667,18.85,Summer
Bryde's whale,MRI,1983,2,10,-34.45,18.88333333,Summer
Bryde's whale,MRI,1983,2,13,-35.03333333,19.71666667,Summer
Bryde's whale,MRI,1983,2,13,-34.96666667,19.66666667,Summer
Bryde's whale,MRI,1983,2,13,-34.9,20.46666667,Summer
Bryde's whale,MRI,1983,2,13,-34.88333333,20.4,Summer
Bryde's whale,MRI,1983,2,13,-34.88333333,20.48333333,Summer
Bryde's whale,MRI,1983,2,13,-34.78333333,19.51666667,Summer
Bryde's whale,MRI,1983,2,13,-34.76666667,19.53333333,Summer
Bryde's whale,MRI,1983,2,13,-34.75,20.5,Summer
Bryde's whale,MRI,1983,2,13,-34.71666667,19.43333333,Summer
Bryde's whale,MRI,1984,2,21,-34.48333333,19.18333333,Summer
Bryde's whale,MRI,1984,2,23,-35.08333333,19.6,Summer
Bryde's whale,MRI,1984,2,26,-32.4,18.05,Summer
Bryde's whale,MRI,1963,3,0,-33.91666667,16.58333333,Summer
Bryde's whale,MRI,1963,3,0,-33.91666667,16.75,Summer
Bryde's whale,MRI,1963,3,0,-33.91666667,18.41666667,Summer
Bryde's whale,MRI,1963,3,0,-33.75,16.91666667,Summer
Bryde's whale,MRI,1963,3,0,-33.75,18.41666667,Summer
Bryde's whale,MRI,1963,3,0,-33.08333333,17.75,Summer
Bryde's whale,MRI,1963,3,0,-32.91666667,17.58333333,Summer
Bryde's whale,MRI,1963,11,0,-33.08333333,16,Summer
Bryde's whale,Incidental sighting,1975,10,0,-33.8,25.8,Summer
Bryde's whale,Incidental sighting,1975,10,0,-33.8,25.8,Summer
Bryde's whale,Incidental sighting,1975,10,0,-33.78333333,25.76666667,Summer
Bryde's whale,Incidental sighting,1975,10,0,-33.76666667,25.76666667,Summer
Bryde's whale,Incidental sighting,1975,10,0,-33.71666667,25.98333333,Summer
Bryde's whale,Incidental sighting,1977,10,0,-34.56666667,19.35,Summer
Bryde's whale,Incidental sighting,1984,10,0,-34.58333333,19.25,Summer
Bryde's whale,Incidental sighting,1984,10,0,-34.41666667,18.81666667,Summer
Bryde's whale,Incidental sighting,1983,1,3,-32.41666667,18.3,Summer
Bryde's whale,Incidental sighting,1983,1,6,-34.58333333,18.83333333,Summer
Bryde's whale,Incidental sighting,1983,2,23,-35,22,Summer
Bryde's whale,Incidental sighting,1983,2,23,-35,22,Summer
Bryde's whale,Incidental sighting,1983,3,6,-34.83333333,19.58333333,Summer
Bryde's whale,Incidental sighting,1983,3,6,-34.5,18.58333333,Summer
Bryde's whale,Incidental sighting,1983,3,6,-33.86666667,26.13333333,Summer
Bryde's whale,Incidental sighting,1983,3,14,-34.46666667,18.25,Summer
Bryde's whale,Incidental sighting,1983,3,17,-33.91666667,18.35,Summer
Bryde's whale,Incidental sighting,1983,3,23,-34.03333333,18.16666667,Summer
Bryde's whale,Incidental sighting,1983,3,24,-34.55,19.35,Summer
Bryde's whale,Incidental sighting,1983,3,25,-34.46666667,19.25,Summer
Bryde's whale,Incidental sighting,1983,3,30,-34.46666667,19.25,Summer
Bryde's whale,Incidental sighting,1983,10,22,-19.36666667,12.63333333,Summer
Bryde's whale,Incidental sighting,1983,10,25,-33.83333333,26,Summer
Bryde's whale,Incidental sighting,1983,10,30,-34.16666667,18.83333333,Summer
Bryde's whale,Incidental sighting,1983,11,4,-34,25.75,Summer
Bryde's whale,Incidental sighting,1984,1,2,-33.91666667,18.33333333,Summer
Bryde's whale,Incidental sighting,1984,1,16,-34.03333333,18.28333333,Summer
